timestamp,session_id,ip_address,country,region,city,location,source,landing_path,browser,os,device_type,device_name,language,timezone,screen,viewport,user_agent,notes
2026-09-21T00:10:26.389Z,a18811534ccba69f9fd01f241cd0b8ba,172.253.192.118,US,Iowa,Council Bluffs,"Council Bluffs, Iowa, US",Direct,/,Chrome,Windows,desktop,Windows PC,en-US,America/Chicago,1920x1080,1366x768,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",
2026-09-21T00:10:27.825Z,f3add50a977582960c56046ca9688774,136.22.140.5,US,,,US,Direct,/,Safari,iOS,mobile,iPhone,en-US,America/Chicago,320x568,320x568,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",
2026-09-21T00:43:31.089Z,6443a751fe0f77374a179f9fc16f7fa3,40.77.189.83,US,Washington,,"Washington, US",Direct,/my-account.html,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",Left page after 5s (tab/window close)
2026-09-21T00:59:45.394Z,dfc36f471be439bb865263c891490916,199.30.25.9,US,Washington,,"Washington, US",direct,/my-account.html,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",
2026-09-21T02:58:16.580Z,35b03fd187844625d1fb89549d172c5d,24.2.7.149,US,Kansas,Olathe,"Olathe, Kansas, US",Google,/,Chrome,Android,mobile,Android Device,en-US,America/Chicago,384x832,384x693,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Mobile Safari/537.36",Left page after 4s (tab/window hidden)
2026-09-21T12:46:09.243Z,266e6dfeeafc403499621a91663a89c4,40.77.190.106,US,Washington,,"Washington, US",direct,/track-order.html,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",
2026-09-21T13:02:30.757Z,5a9820ea69fb203af58b1c9b94f70dee,40.77.177.179,US,Washington,,"Washington, US",direct,/track-order.html,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",
2026-09-21T14:53:41.961Z,7a59d8dd76dec06dd1733b54b36c017b,40.77.188.62,US,Washington,,"Washington, US",direct,/,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",
2026-09-21T15:53:51.484Z,32c373d4c1ad8ba02768af3b2ab71e9c,107.77.208.49,US,Illinois,,"Illinois, US",Internal,/sell/index.html?device=galaxy-s25&storage=128GB&carrier=tmobile&quality=good,Chrome,Android,mobile,Android Device,en-US,America/Chicago,360x803,360x698,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Mobile Safari/537.36","Clicked a: Get My Instant Quote after 4s | Clicked div: Samsung after 3s | Clicked div: S25 after 9s | Clicked button: Yes, This Is It after 16s | Clicked div: 128GB after 25s | Clicked div: T-Mobile after 30s | Clicked div: Flawless after 37s | Clicked a: Restart Quote after 71s | Clicked div: Samsung after 1s | Clicked div: S25 after 2s | Clicked button: Yes, This Is It after 5s | Clicked div: 128GB after 12s | Clicked div: T-Mobile after 14s | Clicked div: Good after 16s | Left page after 97s (tab/window hidden)"
2026-09-21T18:42:54.559Z,ec8a3bbaccc522ec35d73b90ade8cffe,88.212.24.182,SK,Košice Region,Košice,"Košice, Košice Region, SK",Direct,/,Chrome,Android,mobile,Wildfire E6 Star,en-ZA,Europe/Bratislava,360x806,360x646,"Mozilla/5.0 (Linux; Android 14; Wildfire E6 Star Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.7977.87 Mobile Safari/537.36",Left page after 9s (tab/window hidden)
2026-09-21T19:01:46.823Z,5ea8f40094c7d97dc49bf9b1feed4964,107.77.206.182,US,Ohio,,"Ohio, US",organic_google,/,Chrome,Android,mobile,Android Device,en-US,America/Chicago,360x803,360x698,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Mobile Safari/537.36",Left page after 470s (tab/window hidden)
2026-09-21T19:36:53.850Z,5ea8f40094c7d97dc49bf9b1feed4964:2,107.77.206.182,US,Ohio,,"Ohio, US",Internal,/sell/,Chrome,Android,mobile,Android Device,en-US,America/Chicago,360x803,360x698,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Mobile Safari/537.36",Left page after 3s (internal navigation) | Left page after 69s (tab/window hidden)
2026-09-21T22:41:45.379Z,6f3ea4e0373c20e11a9939f44209516b,112.86.225.55,CN,Jiangsu,Suzhou,"Suzhou, Jiangsu, CN",Direct,/index.html,,,desktop,Desktop,en-US,Asia/Shanghai,1800x1125,1800x1125,Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07),
